assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho,proteins_path,genes_path,checkm_completeness,checkm_contamination,quality_filter,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings,gtdb_domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,gc,megabases,organism_name,infraspecific_name,new_genus,new_species,new_strain,label,protein_filename,gtt_label
GCA_003215295.1,PRJNA445865,SAMN08886376,QCKN00000000.1,derived from single cell,na,,2162276,2162276,AG-409-P03,latest,Contig,Major,Full,2018/06/12,ASM321529v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/215/295/GCA_003215295.1_ASM321529v1,./genbank/bacteria/GCA_003215295.1/GCA_003215295.1_ASM321529v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003215295.1_ASM321529v1_genomic.fna,GCA_003215295.1_ASM321529v1,False,..//ncbi/processing/prodigal_proteins/GCA_003215295.1_ASM321529v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003215295.1_ASM321529v1_genomic_prodigal_genes.fna,66.98,0.68,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,AG-409-P03,AG-409-P03 sp003215295,0.41403,1.35958,Prochlorococcus sp. AG-409-P03,,AG-409-P03,AG-409-P03 sp003215295,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_AG-409-P03_Prochlorococcus_sp._AG-409-P03_AG-409-P03_sp003215295,GCA_003215295.1_ASM321529v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_AG-409-P03_Prochlorococcus_sp._AG-409-P03_AG-409-P03_sp003215295 # GCA_003215295.1
GCA_003215315.1,PRJNA445865,SAMN08886377,QCKO00000000.1,derived from single cell,na,,2162277,2162277,AG-409-P19,latest,Contig,Major,Full,2018/06/12,ASM321531v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/215/315/GCA_003215315.1_ASM321531v1,./genbank/bacteria/GCA_003215315.1/GCA_003215315.1_ASM321531v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003215315.1_ASM321531v1_genomic.fna,GCA_003215315.1_ASM321531v1,False,..//ncbi/processing/prodigal_proteins/GCA_003215315.1_ASM321531v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003215315.1_ASM321531v1_genomic_prodigal_genes.fna,67.75,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_B,Prochlorococcus_B sp003215315,0.35627,1.164213,Prochlorococcus sp. AG-409-P19,,Prochlorococcus_B,Prochlorococcus_B sp003215315,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_B_Prochlorococcus_sp._AG-409-P19_Prochlorococcus_B_sp003215315,GCA_003215315.1_ASM321531v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_B_Prochlorococcus_sp._AG-409-P19_Prochlorococcus_B_sp003215315 # GCA_003215315.1
GCA_003214955.1,PRJNA445865,SAMN08886387,QCKY00000000.1,derived from single cell,na,,2162278,2162278,AG-412-A14,latest,Contig,Major,Full,2018/06/12,ASM321495v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/955/GCA_003214955.1_ASM321495v1,./genbank/bacteria/GCA_003214955.1/GCA_003214955.1_ASM321495v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214955.1_ASM321495v1_genomic.fna,GCA_003214955.1_ASM321495v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214955.1_ASM321495v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214955.1_ASM321495v1_genomic_prodigal_genes.fna,78.12,0.27,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A marinus_M,0.31098000000000003,1.390573,Prochlorococcus sp. AG-412-A14,,Prochlorococcus_A,Prochlorococcus_A marinus_M,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-412-A14_Prochlorococcus_A_marinus_M,GCA_003214955.1_ASM321495v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-412-A14_Prochlorococcus_A_marinus_M # GCA_003214955.1
GCA_003214235.1,PRJNA445865,SAMN08886411,QCLW00000000.1,derived from single cell,na,,2162279,2162279,AG-418-F16,latest,Contig,Major,Full,2018/06/12,ASM321423v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/235/GCA_003214235.1_ASM321423v1,./genbank/bacteria/GCA_003214235.1/GCA_003214235.1_ASM321423v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214235.1_ASM321423v1_genomic.fna,GCA_003214235.1_ASM321423v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214235.1_ASM321423v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214235.1_ASM321423v1_genomic_prodigal_genes.fna,68.34,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003214235,0.31245,1.169063,Prochlorococcus sp. AG-418-F16,,Prochlorococcus_A,Prochlorococcus_A sp003214235,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-F16_Prochlorococcus_A_sp003214235,GCA_003214235.1_ASM321423v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-F16_Prochlorococcus_A_sp003214235 # GCA_003214235.1
GCA_003214195.1,PRJNA445865,SAMN08886413,QCLY00000000.1,derived from single cell,na,,2162280,2162280,AG-418-G23,latest,Contig,Major,Full,2018/06/12,ASM321419v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/195/GCA_003214195.1_ASM321419v1,./genbank/bacteria/GCA_003214195.1/GCA_003214195.1_ASM321419v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214195.1_ASM321419v1_genomic.fna,GCA_003214195.1_ASM321419v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214195.1_ASM321419v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214195.1_ASM321419v1_genomic_prodigal_genes.fna,70.2,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003214195,0.31298000000000004,1.179322,Prochlorococcus sp. AG-418-G23,,Prochlorococcus_A,Prochlorococcus_A sp003214195,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-G23_Prochlorococcus_A_sp003214195,GCA_003214195.1_ASM321419v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-G23_Prochlorococcus_A_sp003214195 # GCA_003214195.1
GCA_003214175.1,PRJNA445865,SAMN08886414,QCLZ00000000.1,derived from single cell,na,,2162281,2162281,AG-418-I20,latest,Contig,Major,Full,2018/06/12,ASM321417v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/175/GCA_003214175.1_ASM321417v1,./genbank/bacteria/GCA_003214175.1/GCA_003214175.1_ASM321417v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214175.1_ASM321417v1_genomic.fna,GCA_003214175.1_ASM321417v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214175.1_ASM321417v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214175.1_ASM321417v1_genomic_prodigal_genes.fna,92.66,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003214175,0.31329,1.498119,Prochlorococcus sp. AG-418-I20,,Prochlorococcus_A,Prochlorococcus_A sp003214175,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-I20_Prochlorococcus_A_sp003214175,GCA_003214175.1_ASM321417v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-I20_Prochlorococcus_A_sp003214175 # GCA_003214175.1
GCA_003214085.1,PRJNA445865,SAMN08886416,QCMB00000000.1,derived from single cell,na,,2162282,2162282,AG-418-J17,latest,Contig,Major,Full,2018/06/12,ASM321408v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/085/GCA_003214085.1_ASM321408v1,./genbank/bacteria/GCA_003214085.1/GCA_003214085.1_ASM321408v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214085.1_ASM321408v1_genomic.fna,GCA_003214085.1_ASM321408v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214085.1_ASM321408v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214085.1_ASM321408v1_genomic_prodigal_genes.fna,83.29,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003214085,0.31378,1.454284,Prochlorococcus sp. AG-418-J17,,Prochlorococcus_A,Prochlorococcus_A sp003214085,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-J17_Prochlorococcus_A_sp003214085,GCA_003214085.1_ASM321408v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-J17_Prochlorococcus_A_sp003214085 # GCA_003214085.1
GCA_003214075.1,PRJNA445865,SAMN08886417,QCMC00000000.1,derived from single cell,na,,2162283,2162283,AG-418-J19,latest,Contig,Major,Full,2018/06/12,ASM321407v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/075/GCA_003214075.1_ASM321407v1,./genbank/bacteria/GCA_003214075.1/GCA_003214075.1_ASM321407v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214075.1_ASM321407v1_genomic.fna,GCA_003214075.1_ASM321407v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214075.1_ASM321407v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214075.1_ASM321407v1_genomic_prodigal_genes.fna,69.7,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634515,0.31667,1.071668,Prochlorococcus sp. AG-418-J19,,Prochlorococcus_A,Prochlorococcus_A sp000634515,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-J19_Prochlorococcus_A_sp000634515,GCA_003214075.1_ASM321407v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-J19_Prochlorococcus_A_sp000634515 # GCA_003214075.1
GCA_003214055.1,PRJNA445865,SAMN08886418,QCMD00000000.1,derived from single cell,na,,2162284,2162284,AG-418-K17,latest,Contig,Major,Full,2018/06/12,ASM321405v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/055/GCA_003214055.1_ASM321405v1,./genbank/bacteria/GCA_003214055.1/GCA_003214055.1_ASM321405v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003214055.1_ASM321405v1_genomic.fna,GCA_003214055.1_ASM321405v1,False,..//ncbi/processing/prodigal_proteins/GCA_003214055.1_ASM321405v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003214055.1_ASM321405v1_genomic_prodigal_genes.fna,76.77,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003214055,0.31371,1.27301,Prochlorococcus sp. AG-418-K17,,Prochlorococcus_A,Prochlorococcus_A sp003214055,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-K17_Prochlorococcus_A_sp003214055,GCA_003214055.1_ASM321405v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-K17_Prochlorococcus_A_sp003214055 # GCA_003214055.1
GCA_003213955.1,PRJNA445865,SAMN08886421,QCMG00000000.1,derived from single cell,na,,2162287,2162287,AG-418-M08,latest,Contig,Major,Full,2018/06/12,ASM321395v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/955/GCA_003213955.1_ASM321395v1,./genbank/bacteria/GCA_003213955.1/GCA_003213955.1_ASM321395v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213955.1_ASM321395v1_genomic.fna,GCA_003213955.1_ASM321395v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213955.1_ASM321395v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213955.1_ASM321395v1_genomic_prodigal_genes.fna,98.51,0.27,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003213955,0.30598000000000003,1.664652,Prochlorococcus sp. AG-418-M08,,Prochlorococcus_A,Prochlorococcus_A sp003213955,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-M08_Prochlorococcus_A_sp003213955,GCA_003213955.1_ASM321395v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-M08_Prochlorococcus_A_sp003213955 # GCA_003213955.1
GCA_003213875.1,PRJNA445865,SAMN08886423,QCMI00000000.1,derived from single cell,na,,2162289,2162289,AG-418-O02,latest,Contig,Major,Full,2018/06/12,ASM321387v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/875/GCA_003213875.1_ASM321387v1,./genbank/bacteria/GCA_003213875.1/GCA_003213875.1_ASM321387v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213875.1_ASM321387v1_genomic.fna,GCA_003213875.1_ASM321387v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213875.1_ASM321387v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213875.1_ASM321387v1_genomic_prodigal_genes.fna,77.94,0.27,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000635495,0.31427,1.340197,Prochlorococcus sp. AG-418-O02,,Prochlorococcus_A,Prochlorococcus_A sp000635495,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-O02_Prochlorococcus_A_sp000635495,GCA_003213875.1_ASM321387v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-O02_Prochlorococcus_A_sp000635495 # GCA_003213875.1
GCA_003213855.1,PRJNA445865,SAMN08886424,QCMJ00000000.1,derived from single cell,na,,2162290,2162290,AG-418-O03,latest,Contig,Major,Full,2018/06/12,ASM321385v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/855/GCA_003213855.1_ASM321385v1,./genbank/bacteria/GCA_003213855.1/GCA_003213855.1_ASM321385v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213855.1_ASM321385v1_genomic.fna,GCA_003213855.1_ASM321385v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213855.1_ASM321385v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213855.1_ASM321385v1_genomic_prodigal_genes.fna,79.48,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003213855,0.31732,1.313503,Prochlorococcus sp. AG-418-O03,,Prochlorococcus_A,Prochlorococcus_A sp003213855,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-O03_Prochlorococcus_A_sp003213855,GCA_003213855.1_ASM321385v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-O03_Prochlorococcus_A_sp003213855 # GCA_003213855.1
GCA_003213795.1,PRJNA445865,SAMN08886425,QCMK00000000.1,derived from single cell,na,,2162291,2162291,AG-418-P06,latest,Contig,Major,Full,2018/06/12,ASM321379v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/795/GCA_003213795.1_ASM321379v1,./genbank/bacteria/GCA_003213795.1/GCA_003213795.1_ASM321379v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213795.1_ASM321379v1_genomic.fna,GCA_003213795.1_ASM321379v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213795.1_ASM321379v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213795.1_ASM321379v1_genomic_prodigal_genes.fna,83.02,0.27,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003278845,0.31375,1.442942,Prochlorococcus sp. AG-418-P06,,Prochlorococcus_A,Prochlorococcus_A sp003278845,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-P06_Prochlorococcus_A_sp003278845,GCA_003213795.1_ASM321379v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-P06_Prochlorococcus_A_sp003278845 # GCA_003213795.1
GCA_003213815.1,PRJNA445865,SAMN08886426,QCML00000000.1,derived from single cell,na,,2162292,2162292,AG-418-P13,latest,Contig,Major,Full,2018/06/12,ASM321381v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/815/GCA_003213815.1_ASM321381v1,./genbank/bacteria/GCA_003213815.1/GCA_003213815.1_ASM321381v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213815.1_ASM321381v1_genomic.fna,GCA_003213815.1_ASM321381v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213815.1_ASM321381v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213815.1_ASM321381v1_genomic_prodigal_genes.fna,89.4,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A marinus_D,0.31543000000000004,1.498982,Prochlorococcus sp. AG-418-P13,,Prochlorococcus_A,Prochlorococcus_A marinus_D,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-P13_Prochlorococcus_A_marinus_D,GCA_003213815.1_ASM321381v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-418-P13_Prochlorococcus_A_marinus_D # GCA_003213815.1
GCA_003213375.1,PRJNA445865,SAMN08886441,QCNA00000000.1,derived from single cell,na,,2162293,2162293,AG-424-A03,latest,Contig,Major,Full,2018/06/12,ASM321337v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/375/GCA_003213375.1_ASM321337v1,./genbank/bacteria/GCA_003213375.1/GCA_003213375.1_ASM321337v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213375.1_ASM321337v1_genomic.fna,GCA_003213375.1_ASM321337v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213375.1_ASM321337v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213375.1_ASM321337v1_genomic_prodigal_genes.fna,62.65,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003213375,0.31411999999999995,1.097307,Prochlorococcus sp. AG-424-A03,,Prochlorococcus_A,Prochlorococcus_A sp003213375,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-A03_Prochlorococcus_A_sp003213375,GCA_003213375.1_ASM321337v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-A03_Prochlorococcus_A_sp003213375 # GCA_003213375.1
GCA_003210175.1,PRJNA445865,SAMN08886442,QCNB00000000.1,derived from single cell,na,,2162294,2162294,AG-424-A14,latest,Contig,Major,Full,2018/06/12,ASM321017v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/175/GCA_003210175.1_ASM321017v1,./genbank/bacteria/GCA_003210175.1/GCA_003210175.1_ASM321017v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003210175.1_ASM321017v1_genomic.fna,GCA_003210175.1_ASM321017v1,False,..//ncbi/processing/prodigal_proteins/GCA_003210175.1_ASM321017v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003210175.1_ASM321017v1_genomic_prodigal_genes.fna,80.39,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634515,0.31465,1.253221,Prochlorococcus sp. AG-424-A14,,Prochlorococcus_A,Prochlorococcus_A sp000634515,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-A14_Prochlorococcus_A_sp000634515,GCA_003210175.1_ASM321017v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-A14_Prochlorococcus_A_sp000634515 # GCA_003210175.1
GCA_003210155.1,PRJNA445865,SAMN08886443,QCNC00000000.1,derived from single cell,na,,2162295,2162295,AG-424-E18,latest,Contig,Major,Full,2018/06/12,ASM321015v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/155/GCA_003210155.1_ASM321015v1,./genbank/bacteria/GCA_003210155.1/GCA_003210155.1_ASM321015v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003210155.1_ASM321015v1_genomic.fna,GCA_003210155.1_ASM321015v1,False,..//ncbi/processing/prodigal_proteins/GCA_003210155.1_ASM321015v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003210155.1_ASM321015v1_genomic_prodigal_genes.fna,91.3,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003210155,0.31334,1.453179,Prochlorococcus sp. AG-424-E18,,Prochlorococcus_A,Prochlorococcus_A sp003210155,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-E18_Prochlorococcus_A_sp003210155,GCA_003210155.1_ASM321015v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-E18_Prochlorococcus_A_sp003210155 # GCA_003210155.1
GCA_003213315.1,PRJNA445865,SAMN08886445,QCNE00000000.1,derived from single cell,na,,2162296,2162296,AG-424-G03,latest,Contig,Major,Full,2018/06/12,ASM321331v1,Massachusetts Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/315/GCA_003213315.1_ASM321331v1,./genbank/bacteria/GCA_003213315.1/GCA_003213315.1_ASM321331v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003213315.1_ASM321331v1_genomic.fna,GCA_003213315.1_ASM321331v1,False,..//ncbi/processing/prodigal_proteins/GCA_003213315.1_ASM321331v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003213315.1_ASM321331v1_genomic_prodigal_genes.fna,56.25,0.0,True,,,,,,,,,,,,,,,,,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634515,0.31483,0.943198,Prochlorococcus sp. AG-424-G03,,Prochlorococcus_A,Prochlorococcus_A sp000634515,,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-G03_Prochlorococcus_A_sp000634515,GCA_003213315.1_ASM321331v1_genomic_prodigal_proteins.faa,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_Prochlorococcus_sp._AG-424-G03_Prochlorococcus_A_sp000634515 # GCA_003213315.1
