assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename
GCA_902618505.1,PRJEB33281,SAMEA6069768,CACNAS000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-892-K03,latest,Contig,Major,Full,2019/11/07,AG-892-K03,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/618/505/GCA_902618505.1_AG-892-K03,./genbank/bacteria/GCA_902618505.1/GCA_902618505.1_AG-892-K03_genomic.fna.gz,./genbank/bacteria/GCA_902618505.1/GCA_902618505.1_AG-892-K03_genomic.fna.gz,GCA_902618505.1_AG-892-K03
GCA_902618885.1,PRJEB33281,SAMEA6074921,CACNCC000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-920-D15,latest,Contig,Major,Full,2019/11/07,AG-920-D15,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/618/885/GCA_902618885.1_AG-920-D15,./genbank/bacteria/GCA_902618885.1/GCA_902618885.1_AG-920-D15_genomic.fna.gz,./genbank/bacteria/GCA_902618885.1/GCA_902618885.1_AG-920-D15_genomic.fna.gz,GCA_902618885.1_AG-920-D15
GCA_902635365.1,PRJEB33281,SAMEA6076479,CACPNN000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-447-D19,latest,Contig,Major,Full,2019/11/07,AG-447-D19,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/635/365/GCA_902635365.1_AG-447-D19,./genbank/bacteria/GCA_902635365.1/GCA_902635365.1_AG-447-D19_genomic.fna.gz,./genbank/bacteria/GCA_902635365.1/GCA_902635365.1_AG-447-D19_genomic.fna.gz,GCA_902635365.1_AG-447-D19
GCA_902635485.1,PRJEB33281,SAMEA6076540,CACPNZ000000000.1,derived from environmental source,na,,154535,154535,uncultured Synechococcus sp.,,AG-447-G23,latest,Contig,Major,Full,2019/11/05,AG-447-G23,WOODS HOLE OCEANOGRAPHIC INSTITUTION,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/635/485/GCA_902635485.1_AG-447-G23,./genbank/bacteria/GCA_902635485.1/GCA_902635485.1_AG-447-G23_genomic.fna.gz,./genbank/bacteria/GCA_902635485.1/GCA_902635485.1_AG-447-G23_genomic.fna.gz,GCA_902635485.1_AG-447-G23
GCA_013133755.1,PRJNA623799,SAMN14558869,JABBNJ000000000.1,derived from metagenome,na,,166309,166309,Synechococcus sp. MIT S9220,,MIT S9220,latest,Contig,Major,Full,2020/05/20,ASM1313375v1,Clark University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/133/755/GCA_013133755.1_ASM1313375v1,./genbank/bacteria/GCA_013133755.1/GCA_013133755.1_ASM1313375v1_genomic.fna.gz,./genbank/bacteria/GCA_013133755.1/GCA_013133755.1_ASM1313375v1_genomic.fna.gz,GCA_013133755.1_ASM1313375v1
GCA_000161795.2,PRJNA37911,SAMN02436260,,,na,,166314,166314,Synechococcus sp. WH 8109,strain=WH 8109,,latest,Complete Genome,Major,Full,2014/01/09,ASM16179v2,Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000161795.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/795/GCA_000161795.2_ASM16179v2,./genbank/bacteria/GCA_000161795.2/GCA_000161795.2_ASM16179v2_genomic.fna.gz,./genbank/bacteria/GCA_000161795.2/GCA_000161795.2_ASM16179v2_genomic.fna.gz,GCA_000161795.2_ASM16179v2
GCA_000230675.2,PRJNA61805,SAMN02261394,AGIK00000000.1,,na,,166318,166318,Synechococcus sp. WH 8016,strain=WH 8016,,latest,Contig,Major,Full,2011/10/14,ASM23067v1,JGI,GCF_000230675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/675/GCA_000230675.2_ASM23067v1,./genbank/bacteria/GCA_000230675.2/GCA_000230675.2_ASM23067v1_genomic.fna.gz,./genbank/bacteria/GCA_000230675.2/GCA_000230675.2_ASM23067v1_genomic.fna.gz,GCA_000230675.2_ASM23067v1
GCA_002252675.1,PRJNA396543,SAMN07427895,NQKY00000000.1,,na,,169670,169670,Synechococcus sp. BO 8801,strain=BO 8801,,latest,Scaffold,Major,Full,2017/08/15,ASM225267v1,University of Bristol,GCF_002252675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/675/GCA_002252675.1_ASM225267v1,./genbank/bacteria/GCA_002252675.1/GCA_002252675.1_ASM225267v1_genomic.fna.gz,./genbank/bacteria/GCA_002252675.1/GCA_002252675.1_ASM225267v1_genomic.fna.gz,GCA_002252675.1_ASM225267v1
GCA_001693295.1,PRJNA308952,SAMN04422305,,,na,,195248,195248,Synechococcus sp. PCC 8807,strain=PCC 8807,,latest,Complete Genome,Major,Full,2016/07/25,ASM169329v1,Pennsylvania State University,GCF_001693295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/295/GCA_001693295.1_ASM169329v1,./genbank/bacteria/GCA_001693295.1/GCA_001693295.1_ASM169329v1_genomic.fna.gz,./genbank/bacteria/GCA_001693295.1/GCA_001693295.1_ASM169329v1_genomic.fna.gz,GCA_001693295.1_ASM169329v1
GCA_000332275.1,PRJNA158719,SAMN02261338,ALWC00000000.1,,na,,195250,195250,Synechococcus sp. PCC 7336,strain=PCC 7336,,latest,Chromosome,Major,Full,2013/01/22,ASM33227v1,JGI,GCF_000332275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/275/GCA_000332275.1_ASM33227v1,./genbank/bacteria/GCA_000332275.1/GCA_000332275.1_ASM33227v1_genomic.fna.gz,./genbank/bacteria/GCA_000332275.1/GCA_000332275.1_ASM33227v1_genomic.fna.gz,GCA_000332275.1_ASM33227v1
GCA_000316685.1,PRJNA158717,SAMN02261337,,,na,,195253,195253,Synechococcus sp. PCC 6312,strain=PCC 6312,,latest,Complete Genome,Major,Full,2012/12/04,ASM31668v1,JGI,GCF_000316685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/685/GCA_000316685.1_ASM31668v1,./genbank/bacteria/GCA_000316685.1/GCA_000316685.1_ASM31668v1_genomic.fna.gz,./genbank/bacteria/GCA_000316685.1/GCA_000316685.1_ASM31668v1_genomic.fna.gz,GCA_000316685.1_ASM31668v1
GCA_001693275.1,PRJNA308952,SAMN04422303,,,na,,195498,195498,Synechococcus sp. PCC 7117,strain=PCC 7117,,latest,Complete Genome,Major,Full,2016/07/25,ASM169327v1,Pennsylvania State University,GCF_001693275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/275/GCA_001693275.1_ASM169327v1,./genbank/bacteria/GCA_001693275.1/GCA_001693275.1_ASM169327v1_genomic.fna.gz,./genbank/bacteria/GCA_001693275.1/GCA_001693275.1_ASM169327v1_genomic.fna.gz,GCA_001693275.1_ASM169327v1
GCA_002252635.1,PRJNA396543,SAMN07427897,NQKX00000000.1,,na,,210768,210768,Synechococcus sp. MW101C3,strain=MW101C3,,latest,Contig,Major,Full,2017/08/15,ASM225263v1,University of Bristol,GCF_002252635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/635/GCA_002252635.1_ASM225263v1,./genbank/bacteria/GCA_002252635.1/GCA_002252635.1_ASM225263v1_genomic.fna.gz,./genbank/bacteria/GCA_002252635.1/GCA_002252635.1_ASM225263v1_genomic.fna.gz,GCA_002252635.1_ASM225263v1
GCA_000153825.1,PRJNA13557,SAMN02436107,AAUA00000000.1,,na,,221359,221359,Synechococcus sp. RS9916,strain=RS9916,,latest,Scaffold,Major,Full,2006/10/23,ASM15382v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/825/GCA_000153825.1_ASM15382v1,./genbank/bacteria/GCA_000153825.1/GCA_000153825.1_ASM15382v1_genomic.fna.gz,./genbank/bacteria/GCA_000153825.1/GCA_000153825.1_ASM15382v1_genomic.fna.gz,GCA_000153825.1_ASM15382v1
GCA_000153065.1,PRJNA13555,SAMN02436139,AANP00000000.1,,na,,221360,221360,Synechococcus sp. RS9917,strain=RS9917; RCC556,,latest,Scaffold,Major,Full,2006/05/04,ASM15306v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/065/GCA_000153065.1_ASM15306v1,./genbank/bacteria/GCA_000153065.1/GCA_000153065.1_ASM15306v1_genomic.fna.gz,./genbank/bacteria/GCA_000153065.1/GCA_000153065.1_ASM15306v1_genomic.fna.gz,GCA_000153065.1_ASM15306v1
GCA_000179235.2,PRJNA46501,SAMN00010394,,,na,,232348,232348,Synechococcus sp. CB0101,strain=CB0101,,latest,Complete Genome,Major,Full,2019/04/30,ASM17923v2,Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000179235.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/235/GCA_000179235.2_ASM17923v2,./genbank/bacteria/GCA_000179235.2/GCA_000179235.2_ASM17923v2_genomic.fna.gz,./genbank/bacteria/GCA_000179235.2/GCA_000179235.2_ASM17923v2_genomic.fna.gz,GCA_000179235.2_ASM17923v2
GCA_000179255.1,PRJNA46503,SAMN00010406,ADXM00000000.1,,na,,232363,232363,Synechococcus sp. CB0205,strain=CB0205,,latest,Contig,Major,Full,2010/06/22,ASM17925v1,Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000179255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/255/GCA_000179255.1_ASM17925v1,./genbank/bacteria/GCA_000179255.1/GCA_000179255.1_ASM17925v1_genomic.fna.gz,./genbank/bacteria/GCA_000179255.1/GCA_000179255.1_ASM17925v1_genomic.fna.gz,GCA_000179255.1_ASM17925v1
GCA_000153805.1,PRJNA13559,SAMN02436154,AATZ00000000.1,,na,,313625,313625,Synechococcus sp. BL107,strain=BL107,,latest,Scaffold,Major,Full,2006/10/23,ASM15380v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000153805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/805/GCA_000153805.1_ASM15380v1,./genbank/bacteria/GCA_000153805.1/GCA_000153805.1_ASM15380v1_genomic.fna.gz,./genbank/bacteria/GCA_000153805.1/GCA_000153805.1_ASM15380v1_genomic.fna.gz,GCA_000153805.1_ASM15380v1
GCA_000063525.1,PRJNA13654,SAMEA3138265,,,na,,316278,316278,Synechococcus sp. RCC307,,,latest,Complete Genome,Major,Full,2007/05/19,ASM6352v1,Genoscope,GCF_000063525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/525/GCA_000063525.1_ASM6352v1,./genbank/bacteria/GCA_000063525.1/GCA_000063525.1_ASM6352v1_genomic.fna.gz,./genbank/bacteria/GCA_000063525.1/GCA_000063525.1_ASM6352v1_genomic.fna.gz,GCA_000063525.1_ASM6352v1
GCA_000012505.1,PRJNA13655,SAMN02598312,,,na,,316279,316279,Synechococcus sp. CC9902,strain=CC9902,,latest,Complete Genome,Major,Full,2005/10/26,ASM1250v1,DOE Joint Genome Institute,GCF_000012505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/505/GCA_000012505.1_ASM1250v1,./genbank/bacteria/GCA_000012505.1/GCA_000012505.1_ASM1250v1_genomic.fna.gz,./genbank/bacteria/GCA_000012505.1/GCA_000012505.1_ASM1250v1_genomic.fna.gz,GCA_000012505.1_ASM1250v1
GCA_000013205.1,PRJNA16251,SAMN02604048,,,na,,321327,321327,Synechococcus sp. JA-3-3Ab,strain=JA-3-3Ab,,latest,Complete Genome,Major,Full,2006/02/06,ASM1320v1,TIGR,GCF_000013205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/205/GCA_000013205.1_ASM1320v1,./genbank/bacteria/GCA_000013205.1/GCA_000013205.1_ASM1320v1_genomic.fna.gz,./genbank/bacteria/GCA_000013205.1/GCA_000013205.1_ASM1320v1_genomic.fna.gz,GCA_000013205.1_ASM1320v1
GCA_000013225.1,PRJNA16252,SAMN02604049,,,na,,321332,321332,Synechococcus sp. JA-2-3B'a(2-13),strain=JA-2-3B'a(2-13),,latest,Complete Genome,Major,Full,2006/02/06,ASM1322v1,TIGR,GCF_000013225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/225/GCA_000013225.1_ASM1322v1,./genbank/bacteria/GCA_000013225.1/GCA_000013225.1_ASM1322v1_genomic.fna.gz,./genbank/bacteria/GCA_000013225.1/GCA_000013225.1_ASM1322v1_genomic.fna.gz,GCA_000013225.1_ASM1322v1
GCA_900473935.1,PRJEB26976,SAMEA4707922,UCNN00000000.1,,na,,337067,337067,Synechococcus sp. UW105,,UW105,latest,Contig,Major,Full,2018/07/31,UW105,UNIVERSITY OF SOUTHERN CALIFORNIA,GCF_900473935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/473/935/GCA_900473935.1_UW105,./genbank/bacteria/GCA_900473935.1/GCA_900473935.1_UW105_genomic.fna.gz,./genbank/bacteria/GCA_900473935.1/GCA_900473935.1_UW105_genomic.fna.gz,GCA_900473935.1_UW105
GCA_900474085.1,PRJEB26976,SAMEA4707914,UCNU00000000.1,,na,,368491,368491,Synechococcus sp. UW86,,UW86,latest,Contig,Major,Full,2018/07/31,UW86,UNIVERSITY OF SOUTHERN CALIFORNIA,GCF_900474085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/085/GCA_900474085.1_UW86,./genbank/bacteria/GCA_900474085.1/GCA_900474085.1_UW86_genomic.fna.gz,./genbank/bacteria/GCA_900474085.1/GCA_900474085.1_UW86_genomic.fna.gz,GCA_900474085.1_UW86
GCA_900474185.1,PRJEB26976,SAMEA4707918,UCNW00000000.1,,na,,368493,368493,Synechococcus sp. UW69,,UW69,latest,Contig,Major,Full,2018/07/31,UW69,UNIVERSITY OF SOUTHERN CALIFORNIA,GCF_900474185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/185/GCA_900474185.1_UW69,./genbank/bacteria/GCA_900474185.1/GCA_900474185.1_UW69_genomic.fna.gz,./genbank/bacteria/GCA_900474185.1/GCA_900474185.1_UW69_genomic.fna.gz,GCA_900474185.1_UW69
GCA_900474015.1,PRJEB26976,SAMEA4707917,UCNV00000000.1,,na,,368495,368495,Synechococcus sp. UW106,,UW106,latest,Contig,Major,Full,2018/07/31,UW106,UNIVERSITY OF SOUTHERN CALIFORNIA,GCF_900474015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/015/GCA_900474015.1_UW106,./genbank/bacteria/GCA_900474015.1/GCA_900474015.1_UW106_genomic.fna.gz,./genbank/bacteria/GCA_900474015.1/GCA_900474015.1_UW106_genomic.fna.gz,GCA_900474015.1_UW106
GCA_900474295.1,PRJEB26976,SAMEA4707923,UCOB00000000.1,,na,,368503,368503,Synechococcus sp. UW140,,UW140,latest,Contig,Major,Full,2018/07/31,UW140,UNIVERSITY OF SOUTHERN CALIFORNIA,GCF_900474295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/295/GCA_900474295.1_UW140,./genbank/bacteria/GCA_900474295.1/GCA_900474295.1_UW140_genomic.fna.gz,./genbank/bacteria/GCA_900474295.1/GCA_900474295.1_UW140_genomic.fna.gz,GCA_900474295.1_UW140
GCA_001693255.1,PRJNA308952,SAMN04422302,,,na,,374981,374981,Synechococcus sp. PCC 7003,strain=PCC 7003,,latest,Complete Genome,Major,Full,2016/07/25,ASM169325v1,Pennsylvania State University,GCF_001693255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/255/GCA_001693255.1_ASM169325v1,./genbank/bacteria/GCA_001693255.1/GCA_001693255.1_ASM169325v1_genomic.fna.gz,./genbank/bacteria/GCA_001693255.1/GCA_001693255.1_ASM169325v1_genomic.fna.gz,GCA_001693255.1_ASM169325v1
GCA_001521855.1,PRJNA308952,SAMN04422304,,,na,,374982,374982,Synechococcus sp. PCC 73109,strain=PCC 73109,,latest,Complete Genome,Major,Full,2016/01/21,ASM152185v1,Pennsylvania State University,GCF_001521855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/521/855/GCA_001521855.1_ASM152185v1,./genbank/bacteria/GCA_001521855.1/GCA_001521855.1_ASM152185v1_genomic.fna.gz,./genbank/bacteria/GCA_001521855.1/GCA_001521855.1_ASM152185v1_genomic.fna.gz,GCA_001521855.1_ASM152185v1
GCA_000586015.1,PRJNA238381,SAMN02643444,JENA00000000.1,,na,,1451353,431041,Candidatus Synechococcus spongiarum SH4,strain=SH4,,latest,Contig,Major,Full,2014/03/07,SynSpo.0,The Hong Kong University of Science and Technology,GCF_000586015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/586/015/GCA_000586015.1_SynSpo.0,./genbank/bacteria/GCA_000586015.1/GCA_000586015.1_SynSpo.0_genomic.fna.gz,./genbank/bacteria/GCA_000586015.1/GCA_000586015.1_SynSpo.0_genomic.fna.gz,GCA_000586015.1_SynSpo.0
GCA_001007625.1,PRJNA273429,SAMN03291887,JXUO00000000.1,derived from metagenome; fragmented assembly,na,,1608213,431041,Candidatus Synechococcus spongiarum 142,,142,latest,Scaffold,Major,Full,2015/05/14,ASM100762v1,Haifa University- The Leon H. Charney School of Marine Sciences,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/625/GCA_001007625.1_ASM100762v1,./genbank/bacteria/GCA_001007625.1/GCA_001007625.1_ASM100762v1_genomic.fna.gz,./genbank/bacteria/GCA_001007625.1/GCA_001007625.1_ASM100762v1_genomic.fna.gz,GCA_001007625.1_ASM100762v1
GCA_001007635.1,PRJNA274222,SAMN03323802,JYFQ00000000.1,derived from metagenome,na,,1608419,431041,Candidatus Synechococcus spongiarum 15L,,15L,latest,Scaffold,Major,Full,2015/05/14,ASM100763v1,University of Wuerzburg,GCF_001007635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/635/GCA_001007635.1_ASM100763v1,./genbank/bacteria/GCA_001007635.1/GCA_001007635.1_ASM100763v1_genomic.fna.gz,./genbank/bacteria/GCA_001007635.1/GCA_001007635.1_ASM100763v1_genomic.fna.gz,GCA_001007635.1_ASM100763v1
GCA_001007665.1,PRJNA255756,SAMN03003633,JXQG00000000.1,derived from metagenome,na,,1604020,431041,Candidatus Synechococcus spongiarum SP3,,SP3,latest,Contig,Major,Full,2015/05/14,ASM100766v1,Haifa University- The Leon H. Charney School of Marine Sciences,GCF_001007665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/665/GCA_001007665.1_ASM100766v1,./genbank/bacteria/GCA_001007665.1/GCA_001007665.1_ASM100766v1_genomic.fna.gz,./genbank/bacteria/GCA_001007665.1/GCA_001007665.1_ASM100766v1_genomic.fna.gz,GCA_001007665.1_ASM100766v1
GCA_002017915.1,PRJNA235061,SAMN02745391,MWLG00000000.1,derived from single cell,na,,1449121,431041,Candidatus Synechococcus spongiarum LMB bulk10D,,LMB bulk10D,latest,Scaffold,Major,Full,2017/03/03,ASM201791v1,DOE Joint Genome Institute,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/017/915/GCA_002017915.1_ASM201791v1,./genbank/bacteria/GCA_002017915.1/GCA_002017915.1_ASM201791v1_genomic.fna.gz,./genbank/bacteria/GCA_002017915.1/GCA_002017915.1_ASM201791v1_genomic.fna.gz,GCA_002017915.1_ASM201791v1
GCA_002017955.1,PRJNA235068,SAMN02745393,MWLF00000000.1,derived from single cell,na,,1449122,431041,Candidatus Synechococcus spongiarum LMB bulk10E,,LMB bulk10E,latest,Scaffold,Major,Full,2017/03/03,ASM201795v1,DOE Joint Genome Institute,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/017/955/GCA_002017955.1_ASM201795v1,./genbank/bacteria/GCA_002017955.1/GCA_002017955.1_ASM201795v1_genomic.fna.gz,./genbank/bacteria/GCA_002017955.1/GCA_002017955.1_ASM201795v1_genomic.fna.gz,GCA_002017955.1_ASM201795v1
GCA_002018015.1,PRJNA239118,SAMN02745640,MWLE00000000.1,,na,,1943583,431041,Candidatus Synechococcus spongiarum LMB bulk15N,,LMB bulk15N,latest,Scaffold,Major,Full,2017/03/03,ASM201801v1,DOE Joint Genome Institute,GCF_002018015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/018/015/GCA_002018015.1_ASM201801v1,./genbank/bacteria/GCA_002018015.1/GCA_002018015.1_ASM201801v1_genomic.fna.gz,./genbank/bacteria/GCA_002018015.1/GCA_002018015.1_ASM201801v1_genomic.fna.gz,GCA_002018015.1_ASM201801v1
GCA_002018045.1,PRJNA239126,SAMN02745638,MWLD00000000.1,derived from single cell,na,,1943582,431041,Candidatus Synechococcus spongiarum LMB bulk15M,,LMB bulk15M,latest,Scaffold,Major,Full,2017/03/03,ASM201804v1,DOE Joint Genome Institute,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/018/045/GCA_002018045.1_ASM201804v1,./genbank/bacteria/GCA_002018045.1/GCA_002018045.1_ASM201804v1_genomic.fna.gz,./genbank/bacteria/GCA_002018045.1/GCA_002018045.1_ASM201804v1_genomic.fna.gz,GCA_002018045.1_ASM201804v1
GCA_900047545.1,PRJEB12597,SAMEA3861759,FITM00000000.1,,na,,431041,431041,Candidatus Synechococcus spongiarum,,1,latest,Contig,Major,Full,2016/10/18,m9,GeneWiz,GCF_900047545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/047/545/GCA_900047545.1_m9,./genbank/bacteria/GCA_900047545.1/GCA_900047545.1_m9_genomic.fna.gz,./genbank/bacteria/GCA_900047545.1/GCA_900047545.1_m9_genomic.fna.gz,GCA_900047545.1_m9
GCA_000715475.1,PRJDB1723,SAMD00000348,BAWS00000000.1,,na,,490193,490193,Synechococcus sp. NKBG042902,strain=NKBG042902,,latest,Contig,Major,Full,2014/06/27,ASM71547v1,Tokyo University Agriculuture and Technology,GCF_000715475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/475/GCA_000715475.1_ASM71547v1,./genbank/bacteria/GCA_000715475.1/GCA_000715475.1_ASM71547v1_genomic.fna.gz,./genbank/bacteria/GCA_000715475.1/GCA_000715475.1_ASM71547v1_genomic.fna.gz,GCA_000715475.1_ASM71547v1
GCA_000737575.1,PRJNA207983,SAMN02202184,,,na,,585423,585423,Synechococcus sp. KORDI-49,strain=KORDI-49,,latest,Complete Genome,Major,Full,2014/08/04,ASM73757v1,Korea Institute of Ocean Science and Technology,GCF_000737575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/575/GCA_000737575.1_ASM73757v1,./genbank/bacteria/GCA_000737575.1/GCA_000737575.1_ASM73757v1_genomic.fna.gz,./genbank/bacteria/GCA_000737575.1/GCA_000737575.1_ASM73757v1_genomic.fna.gz,GCA_000737575.1_ASM73757v1
GCA_000737595.1,PRJNA207984,SAMN02202185,,,na,,585425,585425,Synechococcus sp. KORDI-52,strain=KORDI-52,,latest,Complete Genome,Major,Full,2014/08/04,ASM73759v1,Korea Institute of Ocean Science and Technology,GCF_000737595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/595/GCA_000737595.1_ASM73759v1,./genbank/bacteria/GCA_000737595.1/GCA_000737595.1_ASM73759v1_genomic.fna.gz,./genbank/bacteria/GCA_000737595.1/GCA_000737595.1_ASM73759v1_genomic.fna.gz,GCA_000737595.1_ASM73759v1
GCA_000317085.1,PRJNA159509,SAMN02261356,,,na,,1173263,1173263,Synechococcus sp. PCC 7502,strain=PCC 7502,,latest,Complete Genome,Major,Full,2012/12/05,ASM31708v1,JGI,GCF_000317085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/085/GCA_000317085.1_ASM31708v1,./genbank/bacteria/GCA_000317085.1/GCA_000317085.1_ASM31708v1_genomic.fna.gz,./genbank/bacteria/GCA_000317085.1/GCA_000317085.1_ASM31708v1_genomic.fna.gz,GCA_000317085.1_ASM31708v1
GCA_000737535.1,PRJNA207982,SAMN02202183,,,na,,1280380,1280380,Synechococcus sp. KORDI-100,strain=KORDI-100,,latest,Complete Genome,Major,Full,2014/08/04,ASM73753v1,Korea Institute of Ocean Science and Technology,GCF_000737535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/535/GCA_000737535.1_ASM73753v1,./genbank/bacteria/GCA_000737535.1/GCA_000737535.1_ASM73753v1_genomic.fna.gz,./genbank/bacteria/GCA_000737535.1/GCA_000737535.1_ASM73753v1_genomic.fna.gz,GCA_000737535.1_ASM73753v1
GCA_000817325.1,PRJNA209528,SAMN03278348,,,na,,1350461,1350461,Synechococcus sp. UTEX 2973,strain=UTEX 2973,,latest,Complete Genome,Major,Full,2015/01/09,ASM81732v1,Washington University in St Louis,GCF_000817325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/325/GCA_000817325.1_ASM81732v1,./genbank/bacteria/GCA_000817325.1/GCA_000817325.1_ASM81732v1_genomic.fna.gz,./genbank/bacteria/GCA_000817325.1/GCA_000817325.1_ASM81732v1_genomic.fna.gz,GCA_000817325.1_ASM81732v1
GCA_002760345.1,PRJNA209725,SAMN07981244,AXZO00000000.1,,na,,1351840,1351840,Synechococcus sp. 65AY6Li,strain=65AY6Li,,latest,Scaffold,Major,Full,2017/11/07,ASM276034v1,DOE JGI,GCF_002760345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/345/GCA_002760345.1_ASM276034v1,./genbank/bacteria/GCA_002760345.1/GCA_002760345.1_ASM276034v1_genomic.fna.gz,./genbank/bacteria/GCA_002760345.1/GCA_002760345.1_ASM276034v1_genomic.fna.gz,GCA_002760345.1_ASM276034v1
GCA_002760375.1,PRJNA210214,SAMN07981243,AUMZ00000000.1,,na,,1353262,1353262,Synechococcus sp. 60AY4M2,strain=60AY4M2,,latest,Scaffold,Major,Full,2017/11/07,ASM276037v1,DOE JGI,GCF_002760375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/375/GCA_002760375.1_ASM276037v1,./genbank/bacteria/GCA_002760375.1/GCA_002760375.1_ASM276037v1_genomic.fna.gz,./genbank/bacteria/GCA_002760375.1/GCA_002760375.1_ASM276037v1_genomic.fna.gz,GCA_002760375.1_ASM276037v1
