,assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho
226,GCA_009845825.1,PRJNA555144,SAMN12598537,VXYW00000000.1,derived from metagenome,na,,2604863,2604863,Synechococcus sp. SB0670_bin_20,,SB0670_bin_20,latest,Scaffold,Major,Full,2020/01/09,ASM984582v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/845/825/GCA_009845825.1_ASM984582v1,./genbank/bacteria/GCA_009845825.1/GCA_009845825.1_ASM984582v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009845825.1_ASM984582v1_genomic.fna,GCA_009845825.1_ASM984582v1,True
227,GCA_009845105.1,PRJNA555144,SAMN12598571,VYAE00000000.1,derived from metagenome,na,,2604864,2604864,Synechococcus sp. SB0672_bin_10,,SB0672_bin_10,latest,Scaffold,Major,Full,2020/01/09,ASM984510v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/845/105/GCA_009845105.1_ASM984510v1,./genbank/bacteria/GCA_009845105.1/GCA_009845105.1_ASM984510v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009845105.1_ASM984510v1_genomic.fna,GCA_009845105.1_ASM984510v1,True
228,GCA_009844725.1,PRJNA555144,SAMN12598591,VYAY00000000.1,derived from metagenome,na,,2604865,2604865,Synechococcus sp. SB0672_bin_6,,SB0672_bin_6,latest,Scaffold,Major,Full,2020/01/09,ASM984472v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/844/725/GCA_009844725.1_ASM984472v1,./genbank/bacteria/GCA_009844725.1/GCA_009844725.1_ASM984472v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009844725.1_ASM984472v1_genomic.fna,GCA_009844725.1_ASM984472v1,True
229,GCA_009844645.1,PRJNA555144,SAMN12598596,VYBD00000000.1,derived from metagenome,na,,2604866,2604866,Synechococcus sp. SB0673_bin_10,,SB0673_bin_10,latest,Scaffold,Major,Full,2020/01/09,ASM984464v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/844/645/GCA_009844645.1_ASM984464v1,./genbank/bacteria/GCA_009844645.1/GCA_009844645.1_ASM984464v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009844645.1_ASM984464v1_genomic.fna,GCA_009844645.1_ASM984464v1,True
230,GCA_009843485.1,PRJNA555144,SAMN12598654,VYDJ00000000.1,derived from metagenome,na,,2604867,2604867,Synechococcus sp. SB0675_bin_6,,SB0675_bin_6,latest,Scaffold,Major,Full,2020/01/09,ASM984348v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/485/GCA_009843485.1_ASM984348v1,./genbank/bacteria/GCA_009843485.1/GCA_009843485.1_ASM984348v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009843485.1_ASM984348v1_genomic.fna,GCA_009843485.1_ASM984348v1,True
231,GCA_009843455.1,PRJNA555144,SAMN12598655,VYDK00000000.1,derived from metagenome,na,,2604868,2604868,Synechococcus sp. SB0675_bin_7,,SB0675_bin_7,latest,Scaffold,Major,Full,2020/01/09,ASM984345v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/455/GCA_009843455.1_ASM984345v1,./genbank/bacteria/GCA_009843455.1/GCA_009843455.1_ASM984345v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009843455.1_ASM984345v1_genomic.fna,GCA_009843455.1_ASM984345v1,True
232,GCA_009843385.1,PRJNA555144,SAMN12598659,VYDO00000000.1,derived from metagenome,na,,2604869,2604869,Synechococcus sp. SB0676_bin_10,,SB0676_bin_10,latest,Scaffold,Major,Full,2020/01/09,ASM984338v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/385/GCA_009843385.1_ASM984338v1,./genbank/bacteria/GCA_009843385.1/GCA_009843385.1_ASM984338v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009843385.1_ASM984338v1_genomic.fna,GCA_009843385.1_ASM984338v1,True
233,GCA_009842265.1,PRJNA555144,SAMN12598715,VYFS00000000.1,derived from metagenome,na,,2604870,2604870,Synechococcus sp. SB0677_bin_5,,SB0677_bin_5,latest,Scaffold,Major,Full,2020/01/09,ASM984226v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/842/265/GCA_009842265.1_ASM984226v1,./genbank/bacteria/GCA_009842265.1/GCA_009842265.1_ASM984226v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009842265.1_ASM984226v1_genomic.fna,GCA_009842265.1_ASM984226v1,True
234,GCA_009842105.1,PRJNA555144,SAMN12598723,VYGA00000000.1,derived from metagenome,na,,2604871,2604871,Synechococcus sp. SB0678_bin_12,,SB0678_bin_12,latest,Scaffold,Major,Full,2020/01/09,ASM984210v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/842/105/GCA_009842105.1_ASM984210v1,./genbank/bacteria/GCA_009842105.1/GCA_009842105.1_ASM984210v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009842105.1_ASM984210v1_genomic.fna,GCA_009842105.1_ASM984210v1,True
235,GCA_012103655.1,PRJNA515312,SAMN12903678,WLWJ00000000.1,derived from metagenome,na,,2652853,2652853,Synechococcus sp. s2_metabat2_7,,s2_metabat2_7,latest,Contig,Major,Full,2020/04/06,ASM1210365v1,VICTORIA UNIVERSITY WELLINGTON,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/103/655/GCA_012103655.1_ASM1210365v1,./genbank/bacteria/GCA_012103655.1/GCA_012103655.1_ASM1210365v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_012103655.1_ASM1210365v1_genomic.fna,GCA_012103655.1_ASM1210365v1,True
236,GCA_011523835.1,PRJNA594068,SAMN13494919,WTFZ00000000.1,derived from metagenome,na,,2698758,2698758,Synechococcus sp. CO36386bin_29,,CO36386bin_29,latest,Scaffold,Major,Full,2020/03/20,ASM1152383v1,James Cook University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/523/835/GCA_011523835.1_ASM1152383v1,./genbank/bacteria/GCA_011523835.1/GCA_011523835.1_ASM1152383v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011523835.1_ASM1152383v1_genomic.fna,GCA_011523835.1_ASM1152383v1,True
237,GCA_011525445.1,PRJNA594068,SAMN13494918,WTGE00000000.1,derived from metagenome,na,,2698759,2698759,Synechococcus sp. CO36386bin_37,,CO36386bin_37,latest,Scaffold,Major,Full,2020/03/20,ASM1152544v1,James Cook University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/525/445/GCA_011525445.1_ASM1152544v1,./genbank/bacteria/GCA_011525445.1/GCA_011525445.1_ASM1152544v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011525445.1_ASM1152544v1_genomic.fna,GCA_011525445.1_ASM1152544v1,True
238,GCA_011523295.1,PRJNA594068,SAMN13494917,WTHF00000000.1,derived from metagenome,na,,2698760,2698760,Synechococcus sp. CO36406bin_26,,CO36406bin_26,latest,Scaffold,Major,Full,2020/03/20,ASM1152329v1,James Cook University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/523/295/GCA_011523295.1_ASM1152329v1,./genbank/bacteria/GCA_011523295.1/GCA_011523295.1_ASM1152329v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011523295.1_ASM1152329v1_genomic.fna,GCA_011523295.1_ASM1152329v1,True
239,GCA_011523155.1,PRJNA594068,SAMN13494982,WTHL00000000.1,derived from metagenome,na,,2698761,2698761,Synechococcus sp. PL34863bin_39,,PL34863bin_39,latest,Scaffold,Major,Full,2020/03/20,ASM1152315v1,James Cook University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/523/155/GCA_011523155.1_ASM1152315v1,./genbank/bacteria/GCA_011523155.1/GCA_011523155.1_ASM1152315v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011523155.1_ASM1152315v1_genomic.fna,GCA_011523155.1_ASM1152315v1,True
0,GCA_000317265.1,PRJNA104963,SAMN02469882,AJLM00000000.1,,na,,184925,1124,Chlorogloeopsis fritschii PCC 9212,strain=PCC 9212,,latest,Contig,Major,Full,2012/12/05,ChlPCC9212_1.0,Heinrich-Heine-University Duesseldorf,GCF_000317265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/265/GCA_000317265.1_ChlPCC9212_1.0,./genbank/bacteria/GCA_000317265.1/GCA_000317265.1_ChlPCC9212_1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000317265.1_ChlPCC9212_1.0_genomic.fna,GCA_000317265.1_ChlPCC9212_1.0,False
1,GCA_000317285.1,PRJNA104961,SAMN02469883,AJLN00000000.1,,representative genome,assembly from type material,211165,1124,Chlorogloeopsis fritschii PCC 6912,strain=PCC 6912,,latest,Contig,Major,Full,2012/12/05,ChlPCC6912_1.0,HHU Duesseldorf,GCF_000317285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/285/GCA_000317285.1_ChlPCC6912_1.0,./genbank/bacteria/GCA_000317285.1/GCA_000317285.1_ChlPCC6912_1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000317285.1_ChlPCC6912_1.0_genomic.fna,GCA_000317285.1_ChlPCC6912_1.0,False
2,GCA_000010625.1,PRJDA27835,SAMD00060936,,,representative genome,assembly from type material,449447,1126,Microcystis aeruginosa NIES-843,strain=NIES-843,,latest,Complete Genome,Major,Full,2008/01/24,ASM1062v1,Kazusa DNA Research Institute,GCF_000010625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1,./genbank/bacteria/GCA_000010625.1/GCA_000010625.1_ASM1062v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000010625.1_ASM1062v1_genomic.fna,GCA_000010625.1_ASM1062v1,False
3,GCA_000312165.1,PRJEA88479,SAMEA2272067,CAII00000000.1,,na,,1160286,1126,Microcystis aeruginosa PCC 9717,strain=PCC 9717,,latest,Scaffold,Major,Full,2012/08/06,ASM31216v1,Genoscope CEA,GCF_000312165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/165/GCA_000312165.1_ASM31216v1,./genbank/bacteria/GCA_000312165.1/GCA_000312165.1_ASM31216v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312165.1_ASM31216v1_genomic.fna,GCA_000312165.1_ASM31216v1,False
4,GCA_000312185.1,PRJEA88173,SAMEA2272253,CAIJ00000000.1,,na,,1160281,1126,Microcystis aeruginosa PCC 9443,strain=PCC 9443,,latest,Scaffold,Major,Full,2012/08/06,ASM31218v1,Genoscope CEA,GCF_000312185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/185/GCA_000312185.1_ASM31218v1,./genbank/bacteria/GCA_000312185.1/GCA_000312185.1_ASM31218v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312185.1_ASM31218v1_genomic.fna,GCA_000312185.1_ASM31218v1,False
5,GCA_000312205.1,PRJEA88175,SAMEA2272182,CAIK00000000.1,,na,,213618,1126,Microcystis aeruginosa PCC 7941,strain=7941,,latest,Scaffold,Major,Full,2012/08/06,ASM31220v1,Genoscope CEA,GCF_000312205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/205/GCA_000312205.1_ASM31220v1,./genbank/bacteria/GCA_000312205.1/GCA_000312205.1_ASM31220v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312205.1_ASM31220v1_genomic.fna,GCA_000312205.1_ASM31220v1,False
6,GCA_000312225.1,PRJEA88179,SAMEA2272564,CAIM00000000.1,,na,,1160283,1126,Microcystis aeruginosa PCC 9807,strain=PCC 9807,,latest,Scaffold,Major,Full,2012/08/06,ASM31222v1,Genoscope CEA,GCF_000312225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/225/GCA_000312225.1_ASM31222v1,./genbank/bacteria/GCA_000312225.1/GCA_000312225.1_ASM31222v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312225.1_ASM31222v1_genomic.fna,GCA_000312225.1_ASM31222v1,False
7,GCA_000312245.1,PRJEA88181,SAMEA2272072,CAIN00000000.1,,na,,1160284,1126,Microcystis aeruginosa PCC 9808,strain=PCC 9808,,latest,Scaffold,Major,Full,2012/08/06,ASM31224v1,Genoscope CEA,GCF_000312245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/245/GCA_000312245.1_ASM31224v1,./genbank/bacteria/GCA_000312245.1/GCA_000312245.1_ASM31224v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312245.1_ASM31224v1_genomic.fna,GCA_000312245.1_ASM31224v1,False
8,GCA_000312265.1,PRJEA88199,SAMEA2272447,CAIO00000000.1,,na,,1160285,1126,Microcystis aeruginosa PCC 9809,strain=PCC 9809,,latest,Scaffold,Major,Full,2012/08/06,ASM31226v1,Genoscope CEA,GCF_000312265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/265/GCA_000312265.1_ASM31226v1,./genbank/bacteria/GCA_000312265.1/GCA_000312265.1_ASM31226v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312265.1_ASM31226v1_genomic.fna,GCA_000312265.1_ASM31226v1,False
9,GCA_000312285.1,PRJEA88297,SAMEA2271961,CAIQ00000000.1,,na,,721123,1126,Microcystis aeruginosa PCC 9701,strain=PCC 9701,,latest,Scaffold,Major,Full,2012/08/06,ASM31228v1,Genoscope CEA,GCF_000312285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/285/GCA_000312285.1_ASM31228v1,./genbank/bacteria/GCA_000312285.1/GCA_000312285.1_ASM31228v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312285.1_ASM31228v1_genomic.fna,GCA_000312285.1_ASM31228v1,False
10,GCA_000312725.1,PRJEA88177,SAMEA2272205,CAIL00000000.1,,na,,1160282,1126,Microcystis aeruginosa PCC 9806,strain=PCC 9806,,latest,Scaffold,Major,Full,2012/08/06,ASM31272v1,Genoscope CEA,GCF_000312725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/725/GCA_000312725.1_ASM31272v1,./genbank/bacteria/GCA_000312725.1/GCA_000312725.1_ASM31272v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000312725.1_ASM31272v1_genomic.fna,GCA_000312725.1_ASM31272v1,False
11,GCA_000330925.1,PRJNA81203,SAMN02469974,ANKQ00000000.1,,na,,1134457,1126,Microcystis aeruginosa TAIHU98,strain=TAIHU98,,latest,Contig,Major,Full,2013/01/03,MicAerT1.0,"Institute of Hydrobiology, Chinese Academy of Sciences",GCF_000330925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/925/GCA_000330925.1_MicAerT1.0,./genbank/bacteria/GCA_000330925.1/GCA_000330925.1_MicAerT1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000330925.1_MicAerT1.0_genomic.fna,GCA_000330925.1_MicAerT1.0,False
12,GCA_000332585.1,PRJNA175932,SAMN02469975,AOCI00000000.1,,na,,1235808,1126,Microcystis aeruginosa DIANCHI905,strain=DIANCHI905,,latest,Contig,Major,Full,2013/01/22,MicAerD1.0,"Institute of Hydrobiology, Chinese Academy of Sciences",GCF_000332585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/585/GCA_000332585.1_MicAerD1.0,./genbank/bacteria/GCA_000332585.1/GCA_000332585.1_MicAerD1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000332585.1_MicAerD1.0_genomic.fna,GCA_000332585.1_MicAerD1.0,False
13,GCA_000412595.1,PRJNA205171,SAMN02471935,ASZQ00000000.1,,na,,482300,1126,Microcystis aeruginosa SPC777,strain=SPC777,,latest,Contig,Major,Full,2013/06/19,spc777-v1,University of Sao Paulo,GCF_000412595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/595/GCA_000412595.1_spc777-v1,./genbank/bacteria/GCA_000412595.1/GCA_000412595.1_spc777-v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000412595.1_spc777-v1_genomic.fna,GCA_000412595.1_spc777-v1,False
14,GCA_000787675.1,PRJDB3151,SAMD00020207,BBPA00000000.1,,na,,449439,1126,Microcystis aeruginosa NIES-44,strain=NIES-44,,latest,Contig,Major,Full,2014/11/12,ASM78767v1,Akita Prefectural University,GCF_000787675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/675/GCA_000787675.1_ASM78767v1,./genbank/bacteria/GCA_000787675.1/GCA_000787675.1_ASM78767v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000787675.1_ASM78767v1_genomic.fna,GCA_000787675.1_ASM78767v1,False
15,GCA_000981785.2,PRJNA280892,SAMN03480410,,,na,,1641812,1126,Microcystis aeruginosa NIES-2549,strain=NIES-2549,,latest,Complete Genome,Major,Full,2018/01/30,ASM98178v2,National Institute for Environmental Studies,GCF_000981785.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/785/GCA_000981785.2_ASM98178v2,./genbank/bacteria/GCA_000981785.2/GCA_000981785.2_ASM98178v2_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000981785.2_ASM98178v2_genomic.fna,GCA_000981785.2_ASM98178v2,False
16,GCA_001578075.1,PRJNA265027,SAMN03329508,JXYX00000000.1,,na,,449441,1126,Microcystis aeruginosa NIES-88,strain=NIES-88,,latest,Scaffold,Major,Full,2016/03/01,ASM157807v1,University of Helsinki,GCF_001578075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/075/GCA_001578075.1_ASM157807v1,./genbank/bacteria/GCA_001578075.1/GCA_001578075.1_ASM157807v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001578075.1_ASM157807v1_genomic.fna,GCA_001578075.1_ASM157807v1,False
17,GCA_001704955.2,PRJNA291808,SAMN03955402,,,na,,1698524,1126,Microcystis aeruginosa NIES-2481,strain=NIES-2481,,latest,Complete Genome,Major,Full,2018/01/22,ASM170495v2,National Institute for Environmental Studies,GCF_001704955.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/955/GCA_001704955.2_ASM170495v2,./genbank/bacteria/GCA_001704955.2/GCA_001704955.2_ASM170495v2_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001704955.2_ASM170495v2_genomic.fna,GCA_001704955.2_ASM170495v2,False
18,GCA_001706385.1,PRJNA336078,SAMN05468009,MCIH00000000.1,derived from metagenome; many frameshifted proteins; metagenome,na,,1885576,1126,Microcystis aeruginosa CACIAM 03,strain=CACIAM 03,,latest,Contig,Major,Full,2016/08/17,ASM170638v1,UFPA,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/706/385/GCA_001706385.1_ASM170638v1,./genbank/bacteria/GCA_001706385.1/GCA_001706385.1_ASM170638v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001706385.1_ASM170638v1_genomic.fna,GCA_001706385.1_ASM170638v1,False
19,GCA_001725075.1,PRJNA338219,SAMN05526293,MDZH00000000.1,,na,,267869,1126,Microcystis aeruginosa NIES-98,strain=NIES-98,,latest,Scaffold,Major,Full,2016/09/13,ASM172507v1,National Institute for Environmental Studies,GCF_001725075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/725/075/GCA_001725075.1_ASM172507v1,./genbank/bacteria/GCA_001725075.1/GCA_001725075.1_ASM172507v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001725075.1_ASM172507v1_genomic.fna,GCA_001725075.1_ASM172507v1,False
20,GCA_001885655.1,PRJNA349124,SAMN05921184,MOLN00000000.1,,na,,1914537,1126,Microcystis aeruginosa NaRes975,strain=NaRes975,,latest,Contig,Major,Full,2016/11/25,ASM188565v1,Shandong University,GCF_001885655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/885/655/GCA_001885655.1_ASM188565v1,./genbank/bacteria/GCA_001885655.1/GCA_001885655.1_ASM188565v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001885655.1_ASM188565v1_genomic.fna,GCA_001885655.1_ASM188565v1,False
21,GCA_001895325.1,PRJNA349200,SAMN05928532,MOLZ00000000.1,,na,,1914535,1126,Microcystis aeruginosa CHAOHU 1326,strain=CHAOHU 1326,,latest,Scaffold,Major,Full,2016/12/09,ASM189532v1,Shandong University,GCF_001895325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/325/GCA_001895325.1_ASM189532v1,./genbank/bacteria/GCA_001895325.1/GCA_001895325.1_ASM189532v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001895325.1_ASM189532v1_genomic.fna,GCA_001895325.1_ASM189532v1,False
22,GCA_002025445.1,PRJNA374754,SAMN06339528,MVGR00000000.1,,na,,1960155,1126,Microcystis aeruginosa KW,strain=KW,,latest,Contig,Major,Full,2017/03/13,KWv02,Korea Research Institute of Bioscience and Biotechnology (KRIBB),GCF_002025445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/445/GCA_002025445.1_KWv02,./genbank/bacteria/GCA_002025445.1/GCA_002025445.1_KWv02_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002025445.1_KWv02_genomic.fna,GCA_002025445.1_KWv02,False
23,GCA_002095975.1,PRJNA343379,SAMN05786724,,,na,,1903187,1126,Microcystis aeruginosa PCC 7806SL,strain=PCC 7806SL,,latest,Complete Genome,Major,Full,2017/04/18,ASM209597v1,"Institute of Hydrobiology, Chinese Academy of Sciences",GCF_002095975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/095/975/GCA_002095975.1_ASM209597v1,./genbank/bacteria/GCA_002095975.1/GCA_002095975.1_ASM209597v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002095975.1_ASM209597v1_genomic.fna,GCA_002095975.1_ASM209597v1,False
24,GCA_002282945.1,PRJNA340013,SAMN05629279,MTBS00000000.1,derived from environmental source,na,,1194489,1126,Microcystis aeruginosa LE3,,LE3,latest,Scaffold,Major,Full,2017/08/31,ASM228294v1,University of Michigan,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/282/945/GCA_002282945.1_ASM228294v1,./genbank/bacteria/GCA_002282945.1/GCA_002282945.1_ASM228294v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002282945.1_ASM228294v1_genomic.fna,GCA_002282945.1_ASM228294v1,False
25,GCA_002897275.1,PRJDB6373,SAMD00094578,BEIU00000000.1,,na,,449468,1126,Microcystis aeruginosa NIES-298,strain=NIES-298,,latest,Scaffold,Major,Full,2018/01/09,ASM289727v1,"Laboratory of Marine Microbiology, Graduate school of Agriculture, Kyoto university",GCF_002897275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/275/GCA_002897275.1_ASM289727v1,./genbank/bacteria/GCA_002897275.1/GCA_002897275.1_ASM289727v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002897275.1_ASM289727v1_genomic.fna,GCA_002897275.1_ASM289727v1,False
26,GCA_002897315.1,PRJNA340219,SAMN05710194,BEYQ00000000.1,,na,,449468,1126,Microcystis aeruginosa NIES-298,strain=NIES-298,,latest,Scaffold,Major,Full,2017/12/21,ASM289731v1,National Institute for Environmental Studies,GCF_002897315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/315/GCA_002897315.1_ASM289731v1,./genbank/bacteria/GCA_002897315.1/GCA_002897315.1_ASM289731v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002897315.1_ASM289731v1_genomic.fna,GCA_002897315.1_ASM289731v1,False
27,GCA_002933835.1,PRJDB6597,SAMD00107617,BFAC00000000.1,,na,,449440,1126,Microcystis aeruginosa NIES-87,strain=NIES-87,,latest,Scaffold,Major,Full,2018/01/25,ASM293383v1,National Institute for Environmental Studies,GCF_002933835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/933/835/GCA_002933835.1_ASM293383v1,./genbank/bacteria/GCA_002933835.1/GCA_002933835.1_ASM293383v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002933835.1_ASM293383v1_genomic.fna,GCA_002933835.1_ASM293383v1,False
28,GCA_003206555.1,PRJDB5694,SAMD00078610,BDSG00000000.1,,na,,1979544,1126,Microcystis aeruginosa Sj,strain=Sj,,latest,Scaffold,Major,Full,2018/06/08,ASM320655v1,University of Tsukuba,GCF_003206555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/206/555/GCA_003206555.1_ASM320655v1,./genbank/bacteria/GCA_003206555.1/GCA_003206555.1_ASM320655v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003206555.1_ASM320655v1_genomic.fna,GCA_003206555.1_ASM320655v1,False
29,GCA_003206625.1,PRJDB6334,SAMD00093602,BEIV00000000.1,,na,,449534,1126,Microcystis aeruginosa NIES-1211,strain=NIES-1211,,latest,Scaffold,Major,Full,2018/06/08,ASM320662v1,University of Tsukuba,GCF_003206625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/206/625/GCA_003206625.1_ASM320662v1,./genbank/bacteria/GCA_003206625.1/GCA_003206625.1_ASM320662v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003206625.1_ASM320662v1_genomic.fna,GCA_003206625.1_ASM320662v1,False
30,GCA_000478825.2,PRJNA176824,SAMN02471775,,,na,,1147,1147,Synechocystis sp. PCC 6714,strain=PCC 6714,,latest,Complete Genome,Major,Full,2014/07/09,ASM47882v2,University of Freiburg,GCF_000478825.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/825/GCA_000478825.2_ASM47882v2,./genbank/bacteria/GCA_000478825.2/GCA_000478825.2_ASM47882v2_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000478825.2_ASM47882v2_genomic.fna,GCA_000478825.2_ASM47882v2,False
31,GCA_000009725.1,PRJNA60,SAMD00061113,,,na,,1148,1148,Synechocystis sp. PCC 6803,strain=PCC 6803,,latest,Complete Genome,Major,Full,2004/05/11,ASM972v1,Kazusa,GCF_000009725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/725/GCA_000009725.1_ASM972v1,./genbank/bacteria/GCA_000009725.1/GCA_000009725.1_ASM972v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000009725.1_ASM972v1_genomic.fna,GCA_000009725.1_ASM972v1,False
